FSLGU,SUBSPF,Local Government Support Fund (Formerly Financial Subsidy to Local Government Units),ALGU,GPS,General Public Services
CF,SPF,Calamity Fund,CF,ES,Economic Services
COF,SPF,Contingent Fund,COF,SS,Social Services
DECS-BEFP,SPF,Department of Education - School Building Program,DECS-BEFP,SS,Social Services
E-GOV,SPF,E-Government Fund,E-GOV,GPS,General Public Services
ICF,SPF,International Commitments Fund,ICF,GPS,General Public Services
MPBF,SPF,Miscellaneous Personnel Benefits Fund,MPBF,ES,Economic Services
PAMANA,SPF,Payapa at Masaganang Pamayanan Fund,PAMANA,ES,Economic Services
PGF,SPF,Pension and Gratuity Fund,PGF,SS,Social Services
PSEPF,SPF,Priority Social and Economic Projects Fund,PSEPF,ES,Economic Services
PDAF,SPF,Priority Development Assistance Fund,PDAF,ES,Economic Services
TEF,SPF,Tax Expenditures Fund,TEF,ES,Economic Services
DSF,SPF,Debt Service Fund-Interest Payment,DSF,DS,Debt Service Payments
UF,SPF,Unprogrammed Fund,UF
CAF,SPF,Compensation Adjustment Fund,CAF
AFPMP,SPF,AFP Modernization Program,AFPMP
GFA,SPF,General Fund Adjustments,GFA
NUF,SPF,National Unification Fund,NUF
