RSC,AGENCY,Romblon State University (Romblon State College),SUCS,SS,Social Services
WPU,AGENCY,Western Philippines University,SUCS,SS,Social Services
BU,AGENCY,Bicol University,SUCS,SS,Social Services
CNSC,AGENCY,Camarines Norte State College,SUCS,SS,Social Services
CSPC,AGENCY,Camarines Sur Polytechnic Colleges,SUCS,SS,Social Services
CSSAC,AGENCY,Central Bicol State University of Agriculture (Camarines Sur State Agricultural College),SUCS,SS,Social Services
CATSC,AGENCY,Catanduanes State University,SUCS,SS,Social Services
DEEMSCAT,AGENCY,"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and Technology",SUCS,SS,Social Services
PARSC,AGENCY,Partido State University,SUCS,SS,Social Services
SSTC,AGENCY,Sorsogon State College,SUCS,SS,Social Services
ASU,AGENCY,Aklan State University,SUCS,SS,Social Services
CAPSU,AGENCY,Capiz State University,SUCS,SS,Social Services
CHMSC,AGENCY,Carlos C. Hilado Memorial State College,SUCS,SS,Social Services
GSC,AGENCY,Guimaras State College,SUCS,SS,Social Services
ISCOF,AGENCY,Iloilo State University of Science and Technology,SUCS,SS,Social Services
NSCA,AGENCY,Central Philippines State University,SUCS,SS,Social Services
NIPSC,AGENCY,Northern Iloilo State University,SUCS,SS,Social Services
NNSCST,AGENCY,Northern Negros State College of Science and Technology,SUCS,SS,Social Services
POLSCAN,AGENCY,University of Antique (Polytechnic State College of Antique),SUCS,SS,Social Services
WVCST,AGENCY,Iloilo Science and Technology University,SUCS,SS,Social Services
WVSU,AGENCY,West Visayas State University,SUCS,SS,Social Services
CNU,AGENCY,Cebu Normal University,SUCS,SS,Social Services
CSCST,AGENCY,Cebu Technological University (Cebu State College of Science and Technology),SUCS,SS,Social Services
CVSCAFT,AGENCY,"Bohol Island State University  (Central Visayas State College of Agr.,  Forestry and Tech.)",SUCS,SS,Social Services
CVPC,AGENCY,Negros Oriental State University (Central Visayas Polytechnic College),SUCS,SS,Social Services
SISC,AGENCY,Siquijor State College,SUCS,SS,Social Services
ESSU,AGENCY,Eastern Samar State University,SUCS,SS,Social Services
EVSU,AGENCY,Eastern Visayas State University (Leyte Institute of Technology),SUCS,SS,Social Services
LNU,AGENCY,Leyte Normal University,SUCS,SS,Social Services
VISCA,AGENCY,Visayas State University (Leyte State University),SUCS,SS,Social Services
NIT,AGENCY,Naval State University (Naval Institute of Technology),SUCS,SS,Social Services
PIT,AGENCY,Palompon Polytechnic State University,SUCS,SS,Social Services
SLSU,AGENCY,Southern Leyte State University (Southern Leyte State College of Sci. and Tech. and TONC),SUCS,SS,Social Services
SSCAF,AGENCY,Samar State College of Agriculture and Forestry,SUCS,SS,Social Services
SSU,AGENCY,Samar State University (Samar State Polytechnic College),SUCS,SS,Social Services
TIMIST,AGENCY,Northwest Samar State University (TTMIST and SSCAF),SUCS,SS,Social Services
UEP,AGENCY,University of Eastern Philippines,SUCS,SS,Social Services
JHCESC,AGENCY,J. H. Cerilles State College,SUCS,SS,Social Services
JRMSC,AGENCY,Jose Rizal Memorial State University (Jose Rizal Memorial State College),SUCS,SS,Social Services
WMSU,AGENCY,Western Mindanao State University,SUCS,SS,Social Services
ZCSPC,AGENCY,Zamboanga City State Polytechnic College,SUCS,SS,Social Services
ZSCMST,AGENCY,Zamboanga State College of Marine Sciences and Technology,SUCS,SS,Social Services
BUKSC,AGENCY,Bukidnon State University,SUCS,SS,Social Services
CPSC,AGENCY,Camiguin Polytechnic State College,SUCS,SS,Social Services
CMU,AGENCY,Central Mindanao University,SUCS,SS,Social Services
MPSC,AGENCY,Mindanao University of Science and Technology,SUCS,SS,Social Services
MSU-IIT,AGENCY,MSU-Iligan Institute of Technology,SUCS,SS,Social Services
MOSCAT,AGENCY,Misamis Oriental State College of Agriculture and Technology,SUCS,SS,Social Services
NWMSCST,AGENCY,Northwestern Mindanao State College of Science and Technology,SUCS,SS,Social Services
DDNSC,AGENCY,Davao del Norte State College,SUCS,SS,Social Services
DOSCST,AGENCY,Davao Oriental State College of Science and Technology,SUCS,SS,Social Services
SPAMAST,AGENCY,Southern Philippines Agri-Business and Marine and Aquatic School of Technology,SUCS,SS,Social Services
USP,AGENCY,University of Southeastern Philippines,SUCS,SS,Social Services
CCSPC,AGENCY,Cotabato City State Polytechnic College,SUCS,SS,Social Services
CFCST,AGENCY,Cotabato Foundation College of Science and Technology,SUCS,SS,Social Services
SKPSC,AGENCY,Sultan Kudarat State University (Sultan Kudarat Polytechnic State College),SUCS,SS,Social Services
USM,AGENCY,University of Southern Mindanao,SUCS,SS,Social Services
ADSSCAT,AGENCY,Agusan del Sur State College of Agriculture and Technology,SUCS,SS,Social Services
NMSIST,AGENCY,Caraga State University (Northern Mindanao State Institute of Science and Technology),SUCS,SS,Social Services
